,year,type,country,activity,age,species,month,fatal,gender
717,2002,Unprovoked,australia,Surfing,30 or 36,"1.5 m [5'] ""whaler shark""",Feb,N,M
718,2002,Boating,australia,Kayaking,35,C. leucas tooth fragment recovered from kayak,Feb,N,M
719,2002,Unprovoked,australia,Surfing,20,"Tiger shark, 3 m [10']",Jan,N,M
720,2002,Unprovoked,south africa,Fishing,16,Zambesi shark?,Jan,N,M
721,2002,Unprovoked,south africa,Surf skiing,26,Unidentified,Jan,N,M
722,2002,Unprovoked,usa,Snorkeling,35,"Tiger shark, 1.8 m [6'] ",Jan,N,M
723,2001,Unprovoked,australia,Snorkeling,20,Bronze whaler shark?,Oct,N,F
724,2001,Unprovoked,mexico,Body surfing,26,"Tiger shark, 1.8 m [6']",Sep,N,M
725,2001,Provoked,usa,"Surfing, fell off surfboard & stepped on the shark.",21,4' shark,Sep,N,M
726,2001,Invalid,usa,Wreck / Technical diving,42,Questionable incident - shark bite may have precipitated drowning,Sep,Y,M
727,2001,Unprovoked,usa,Boogie boarding,6½,2' to 3.5' shark,Sep,N,M
728,2001,Unprovoked,usa,Swimming ,28,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,Y,M
729,2001,Unprovoked,usa,Swimming,23,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,N,F
730,2001,Unprovoked,usa,Wading,20,1.5 m [5'] shark,Sep,N,M
731,2001,Unprovoked,usa,Swimming ,10,bull shark,Sep,Y,M
732,2001,Unprovoked,bahamas,Spearfishing,44,3 m [10'] bull shark,Aug,N,M
733,2001,Unprovoked,usa,Surfing,17,a small shark,Aug,N,M
734,2001,Unprovoked,usa,Surfing,20,Possibly  a blacktip or spinner shark,Aug,N,M
